"startSequence"								
"stimNumber"		"timeSeg"	"description"	"graphicResource" "textBody" "link"
13		-470000000	"Oldest Land Plant Fossils"	"Oldest Land Plant Fossils.jpg"	"Adjusting from life in the water to life on land is no easy task.  Ultraviolet radiation, desiccation, and nutrient acquisition are just some of the hurdles early land plants needed to overcome.  The first evidence for liverworts, a simple kind of plant, appeared in the form of spores."	"http://en.wikipedia.org/wiki/Bryophyte"
14		-428000000	"Oldest Land Animal Fossils"	"Oldest Land Animal Fossils.jpg"	"After plants conquered the land, animals were not far behind.  Millipedes, centipedes, and scorpions belonging to the phylum 'Arthropod' were the first to colonize the land, feasting on spores, early land plants, and each other."	"http://en.wikipedia.org/wiki/Arthropod"
15		-250000000	"Permian-Triassic Extinction"	"Permian Extinction.jpg"	"The greatest mass extinction in Earth history saw the end of up to 96% of all species living in the oceans, and 70% of vertebrates on land. The cause of this catastrophe is hotly debated, but it paved the way for the rise of the dinosaurs..."	"http://en.wikipedia.org/wiki/Permian%E2%80%93Triassic_extinction_event"
16		-230000000	"Oldest Dinosaur Fossils"	"Oldest Dinosaur Fossils.jpg"	"Dinosaurs stepped onto the scene with the evolution of Eoraptor, an archosaur whose distinguishing characteristic was a unique hip structure that differed from precursor reptiles by bringing the legs under the body, allowing dinosaurs to expand into many new niches."	"http://en.wikipedia.org/wiki/Dinosaur"
17		-65000000	"Dinosaur Extinction"	"Dinosaur Extinction.jpg"	"The extinction of the dinosaurs was a rapid event, geologically speaking. Today, it is widely accepted that collision of the Earth with a 10 km asteroid or comet probably caused this extinction, although many argue that the Earth's environment was already stressed by other factors..."	"http://www.pbs.org/wgbh/evolution/extinction/dinosaurs/low_bandwidth.html"
18		-3400000	"Earliest Use of Stone Tools by Human Ancestors"	"Earliest Use of Stone Tools by Human Ancestors.jpg"	"The first evidence of stone tool use was discovered only recently. Scraping marks on animal bone fragments found in Ethiopia were probably made by Australopithecus afarensis..."	"http://science.kqed.org/quest/2010/08/11/have-tool-will-evolve/"
19		-3000000	"Ice Ages Begin"	"Ice Ages Begin.jpg"	"There have been several eras of extensive glaciation in Earth's history. We are living in the most recent such era, which geologists call the ‘Quaternary Period’. During this era, permanent ice sheets developed in Antarctica and possibly Greenland. These ice sheets expanded and contracted in dramatic cycles – ‘ice ages’ - roughly every 100,000 years…"	"http://en.wikipedia.org/wiki/Quaternary_glaciation"
20		-20000	"Last Glacial Maximum"	"Last Glacial Maximum.jpg"	"When the last major ice age reached its peak, a sheet of ice about 2 miles thick covered much of North America. Geologists and climate scientists call that time the ‘last glacial maximum’. Modern human civilization arose after that ice sheet retreated."	"http://en.wikipedia.org/wiki/Last_Glacial_Maximum"
21		-10000	"Agriculture Invented"	"Agriculture Invented.jpg"	"Advancing glaciers ground bedrock to fine powder. When they retreated, they left behind rich soil and networks of rivers and lakes. Some scholars suspect that agriculture was invented as a consequence, leading eventually to the rise of cities and technology. You may be reading this because of ancient climate change!"	"http://en.wikipedia.org/wiki/History_of_agriculture"
22	"specific"	-752	"Rome Founded"	"Rome Founded.jpg"	"The Roman Empire was the dominant European power of its time. Its legacy endures in the languages and political systems that shape the world to this day. The origins of this empire are shrouded in myth and legend…"	"http://en.wikipedia.org/wiki/Ancient_Rome#Founding_myth"
23	"specific"	476	"Rome Collapses"	"Rome-Collapses.jpg"	"The decline of the Roman Empire was gradual, but is commonly assigned to the date when the last Emperor of the Western Roman Empire was deposed by Germanic conquerors. Regardless, the ebbing of this Empire led to a period of political instability and technological decline in Europe…"	"http://en.wikipedia.org/wiki/Decline_of_the_Roman_Empire"
24	"specific"	1400	"Renaissance"	"Renaissance.jpg"	"The Renaissance was a cultural movement in Europe that saw an eruption of ferment and creativity in literature, art, religion, politics and, of special interest to us, in astronomy and other branches of science…"	"http://en.wikipedia.org/wiki/Renaissance#Science"
25	"specific"	1780	"Industrial Revolution"	"Industrial Revolution.jpg"	"During the Industrial Revolution, technology was harnessed in ways that transformed daily life around the globe. Average income and human population soared as never before…"	"http://en.wikipedia.org/wiki/Industrial_Revolution"
26	"specific"	1906	"First Radio Broadcast"	"First Radio Broadcast.jpg"	"The first radio broadcast of voice and music probably occurred in Massachusetts, when Reginald Fessenden's transmission of classical music and a passage from the Bible was heard several hundred miles away."	"http://en.wikipedia.org/wiki/Reginald_Fessenden#Alternator-transmitter_and_the_first_audio_radio_broadcast"
27	"specific"	1969	"First Human Steps on Extraterrestrial Body"	"First Human Steps.jpg"	"Neil Armstrong famously took 'one small step for man, one giant leap for mankind' when he stepped from the Apollo 11 lunar lander and placed his foot upon the Moon…"	"http://en.wikipedia.org/wiki/Apollo_11"
28	"dob"	1974	"Your Birth"	"Your Birth.jpg"	"On this happy day, you arrived as a conscious being on planet Earth. We hope your stay has been pleasant so far, and that you will enjoy many more decades inhabiting this pale blue dot."	"http://youtu.be/dRx34O6e01Q"
29	"today"	2011	"Today"	"Today.jpg"	"On this day, we hope you learned many things about the history of the Earth!"	"http://en.wikipedia.org/wiki/History_of_the_Earth"
30		900000000	"Biosphere Collapses"	"Biosphere Collapses.jpg"	"As the Sun ages, it grows brighter. As it grows brighter, the Earth grows warmer, which increases the rate at which the weathering of rocks consumes CO₂ in the atmosphere. This very slow process, happening over hundreds of millions of years, will eventually reduce CO₂ in the atmosphere to levels below that needed to sustain photosynthesis. At that point, the biosphere as we know it will collapse…"	"http://www.ncbi.nlm.nih.gov/pubmed/11536510"
31		2500000000	"Evaporation of the Oceans"	"Evaporation of the Oceans.jpg"	"Eventually, the Earth will be warm enough that large amounts of water evaporate and rise to the Earth's upper atmosphere. There, the H₂O molecules are broken by ultraviolet light and the H atoms escape to space. The Earth will then become a water-free planet, much like modern-day Venus."	"http://www.ncbi.nlm.nih.gov/pubmed/11536510"
32		5400000000	"Death of the Earth"	"Death of the Earth.jpg"	"The Sun's energy comes from the conversion of hydrogen to helium by nuclear fusion. In the distant future, the hydrogen will all be gone. At that point, the Sun will swell into a red giant, expanding to engulf the Earth's orbit. That will be a very bad day for anything still living on the planet."	"http://en.wikipedia.org/wiki/Sun#Life_cycle"
